theorem_name,module,claim_class,lean_compiles,lake_build_passes,axiom_dependencies,source_provenance,statement_frozen_before_proof,definition_change_status,frame_status,tokenization_status,independence_status,strongest_claim_proved,stronger_claim_open,counterfactual_importance,audit_status,audit_date,notes
FanoRecovery.recovery_ignores_route_residue,KTLean/FanoRecovery.lean,"STRUCTURAL;RECOVERY;PROJECTION",YES,YES,"propext;Quot.sound",FORMALIZATION_DERIVED,YES,NO_SUBSTANTIVE_CHANGE_KNOWN,FRAME_STATUS_UNPROVED,PRE_TOKENIZATION,PARTIAL,"Fano recovery depends on visible payload incidence and does not distinguish the retained routing residue.","A theorem that the ignored route residue is precisely the physically relevant hidden memory variable.",MAJOR_BRANCH_FAILURE,"AXIOM_AUDITED;RECOVERY_RESIDUE_SEPARATION_PROVED",2026-07-16,"The theorem formally separates recovered incidence from route provenance."
OperationNormalForm.unique_normal_form,KTLean/OperationNormalForm.lean,"STRUCTURAL;CLASSIFICATION;NORMAL_FORM",YES,YES,"propext;Quot.sound","SOURCE_FIXED;FORMALIZATION_DERIVED",YES,NO_SUBSTANTIVE_CHANGE_KNOWN,FRAME_STATUS_UNPROVED,PRE_TOKENIZATION,PARTIAL,"Every lawful framed operation has a unique admissible coordinate triple consisting of Fano address triadic role and orientation.","Proof that every physically admissible KT-local process satisfies the framed Fano law used in the classification.",CENTRAL_CLAIM_FAILURE,"AXIOM_AUDITED;UNIQUE_NORMAL_FORM_PROVED;PHYSICAL_EXHAUSTIVENESS_OPEN",2026-07-16,"This is the semantic classification theorem underlying the 42-operation count."
PrimitiveRecurrence.double_cover_arithmetic_dichotomy,KTLean/PrimitiveRecurrence.lean,"STRUCTURAL;RECURRENCE;DOUBLE_COVER;ARITHMETIC",YES,YES,"propext;Quot.sound",FORMALIZATION_DERIVED,YES,NO_SUBSTANTIVE_CHANGE_KNOWN,NOT_APPLICABLE,PRE_TOKENIZATION,PARTIAL,"A primitive double-cover recurrence falls into the unit-half prime-two case or the nonunit-half factorization case.","A complete classification of all spinorial recurrence systems or a physical derivation of observed prime spectra.",MAJOR_BRANCH_FAILURE,"AXIOM_AUDITED;DOUBLE_COVER_DICHOTOMY_PROVED",2026-07-16,"The theorem exposes the arithmetic boundary created by the half-period structure."
PrimitiveRecurrence.primitive_recurrence_not_sufficient_for_primality,KTLean/PrimitiveRecurrence.lean,"STRUCTURAL;RECURRENCE;COUNTEREXAMPLE",YES,YES,"propext;Classical.choice;Quot.sound",FORMALIZATION_DERIVED,YES,NO_SUBSTANTIVE_CHANGE_KNOWN,NOT_APPLICABLE,PRE_TOKENIZATION,INDEPENDENT_COUNTEREXAMPLE,"Primitive recurrence alone does not imply arithmetic primality.","Identification of the additional physically forced condition that rules out nontrivial block decomposition.",CENTRAL_CLAIM_CORRECTION,"AXIOM_AUDITED;COUNTEREXAMPLE_PROVED;OVERCLAIM_BLOCKED",2026-07-16,"This theorem prevents the project from equating recurrence primitiveness with number-theoretic primality."
SpinorIrreducibility.spinor_prime_boundary,KTLean/SpinorIrreducibility.lean,"STRUCTURAL;SPINOR;IRREDUCIBILITY;PRIMALITY",YES,YES,"propext;Quot.sound",FORMALIZATION_DERIVED,YES,NO_SUBSTANTIVE_CHANGE_KNOWN,NOT_APPLICABLE,PRE_TOKENIZATION,PARTIAL,"A period of at least two that is both a primitive return and spinorially indecomposable is arithmetically prime.","Proof that physical spinor dynamics necessarily supplies the indecomposability premise for all relevant modes.",MAJOR_BRANCH_FAILURE,"AXIOM_AUDITED;PRIMITIVE_PLUS_INDECOMPOSABLE_IMPLIES_PRIME",2026-07-16,"The theorem explicitly repairs the insufficiency identified in PrimitiveRecurrence."
ReversibleStep.history_recovers_initial,KTLean/MemoryEscrow.lean,"STRUCTURAL;REVERSIBILITY;MEMORY;RECOVERY",YES,YES,NONE,FORMALIZATION_DERIVED,YES,NO_SUBSTANTIVE_CHANGE_KNOWN,NOT_APPLICABLE,PRE_TOKENIZATION,ABSTRACTLY_INDEPENDENT,"Applying finite-depth recovery to the kth state of a reversible history returns the initial state exactly.","Instantiation for the full concrete KT substrate and proof that physically available escrow contains the required recovery data.",MAJOR_BRANCH_FAILURE,"AXIOM_AUDITED;AXIOM_FREE;FINITE_DEPTH_MEMORY_RECOVERY_PROVED",2026-07-16,"This theorem is kernel-clean and expresses exact finite-depth memory escrow."
ReversibleStep.recoverN_stepN,KTLean/MemoryEscrow.lean,"STRUCTURAL;REVERSIBILITY;MEMORY;BIJECTION",YES,YES,NONE,FORMALIZATION_DERIVED,YES,NO_SUBSTANTIVE_CHANGE_KNOWN,NOT_APPLICABLE,PRE_TOKENIZATION,ABSTRACTLY_INDEPENDENT,"Recovering k times after advancing k times returns the original complete state.","Concrete substrate instantiation and identification of which projected records retain sufficient recovery information.",MAJOR_BRANCH_FAILURE,"AXIOM_AUDITED;AXIOM_FREE;FORWARD_REVERSE_IDENTITY_PROVED",2026-07-16,"This is an axiom-free iterated inverse theorem."
RoutedTokenization.encode_bijective,KTLean/RoutedTokenization.lean,"STRUCTURAL;TOKENIZATION;BIJECTION",YES,YES,NONE,FORMALIZATION_DERIVED,YES,NO_SUBSTANTIVE_CHANGE_KNOWN,FRAME_STATUS_UNPROVED,TOKENIZATION_LAYER,ABSTRACTLY_INDEPENDENT,"The routed token encoding is bijective between complete routed states and token states.","Proof that this encoding is the unique or physically forced Planck tokenization map and is invariant under the concrete substrate symmetry.",CENTRAL_CLAIM_FAILURE,"AXIOM_AUDITED;AXIOM_FREE;TOKEN_ENCODING_BIJECTIVE",2026-07-16,"This establishes reversible formal tokenization for the defined routed representation."
RoutedTokenization.tokenHistory_recovers_initial,KTLean/RoutedTokenization.lean,"STRUCTURAL;TOKENIZATION;MEMORY;RECOVERY",YES,YES,NONE,FORMALIZATION_DERIVED,YES,NO_SUBSTANTIVE_CHANGE_KNOWN,FRAME_STATUS_UNPROVED,TOKENIZATION_LAYER,ABSTRACTLY_INDEPENDENT,"The complete initial routed state is exactly recoverable from the corresponding token history.","Physical identification of token history with observable or escrow-accessible Planck-scale memory.",CENTRAL_CLAIM_FAILURE,"AXIOM_AUDITED;AXIOM_FREE;TOKEN_HISTORY_RECOVERY_PROVED",2026-07-16,"This is the strongest current tokenized finite-history recovery theorem."
RoutedTokenization.complete_eq_of_token_eq,KTLean/RoutedTokenization.lean,"STRUCTURAL;TOKENIZATION;EXTENSIONALITY",YES,YES,NONE,FORMALIZATION_DERIVED,YES,NO_SUBSTANTIVE_CHANGE_KNOWN,FRAME_STATUS_UNPROVED,TOKENIZATION_LAYER,ABSTRACTLY_INDEPENDENT,"Equality of complete token states implies equality of the corresponding complete routed states.","Physical uniqueness and frame invariance of the concrete token representation.",MAJOR_BRANCH_FAILURE,"AXIOM_AUDITED;AXIOM_FREE;TOKEN_EXTensional_RECOVERY_PROVED",2026-07-16,"No complete-state distinction is lost by the defined token encoding."
